"","Number","Weight (N)","Stature (mm)","Head circumference (mm)","Shoulder breadth (mm)","Hand length (mm)","Hand breadth (mm)","Chest circumference (mm)","Waist circumference (mm)","Foot length (mm)","Foot breadth (mm)","Age (months)"
"796",796,400,1417,520,350,156,72,719,672,227,89,116
"797",797,306,1422,524,317,152,67,665,561,214,83,116
"798",798,390,1436,538,349,154,70,709,658,223,83,116
"799",799,373,1470,572,342,174,73,684,644,234,89,116
"800",800,380,1332,518,308,146,61,619,567,197,81,117
"801",801,268,1347,495,313,149,62,642,540,202,72,117
"802",802,274,1356,542,303,150,59,635,616,208,82,117
"803",803,272,1363,514,284,140,64,580,574,211,80,117
"804",804,335,1366,524,345,151,71,677,620,220,87,117
"805",805,360,1377,535,334,152,69,679,642,215,80,117
"806",806,322,1386,503,312,152,67,658,597,216,80,117
"807",807,360,1409,534,333,154,70,700,662,219,74,117
"808",808,330,1427,546,330,143,67,682,557,206,87,117
"809",809,261,1274,529,287,137,57,622,566,202,85,118
"810",810,242,1286,518,286,136,65,619,518,201,81,118
"811",811,240,1314,525,296,150,61,569,501,212,80,118
"812",812,260,1344,497,291,143,68,582,530,213,78,118
"813",813,267,1357,513,289,151,67,609,506,207,77,118
"814",814,390,1385,541,358,153,70,760,739,213,84,118
"815",815,304,1402,536,325,152,68,660,570,218,78,118
"816",816,318,1402,555,330,159,70,657,567,229,84,118
"817",817,310,1415,533,322,155,70,661,585,211,78,118
"818",818,291,1421,512,312,144,65,631,517,212,85,118
"819",819,348,1428,499,333,158,63,664,630,214,82,118
"820",820,262,1281,530,307,133,63,634,558,198,83,119
"821",821,226,1301,514,290,130,60,607,564,188,70,119
"822",822,322,1327,531,332,146,70,673,612,210,74,119
"823",823,331,1354,514,334,146,68,681,641,209,81,119
"824",824,322,1370,541,326,150,63,660,593,217,77,119
"825",825,261,1386,524,310,149,71,623,520,196,77,119
"826",826,324,1401,526,334,151,67,726,612,212,80,119
"827",827,395,1420,546,337,151,69,720,726,222,79,119
"828",828,390,1472,534,352,152,74,736,697,228,82,119
"829",829,222,1259,490,296,136,64,566,514,193,75,120
"830",830,274,1265,530,293,135,59,650,557,196,71,120
"831",831,285,1299,509,311,141,70,643,534,194,86,120
"832",832,413,1318,538,377,144,67,823,726,207,87,120
"833",833,279,1337,520,303,141,66,625,567,202,84,120
"834",834,255,1346,518,279,142,61,599,549,202,70,120
"835",835,271,1356,508,317,150,68,647,582,217,82,120
"836",836,359,1366,544,329,146,66,691,639,228,91,120
"837",837,420,1399,553,366,153,74,755,774,211,85,120
"838",838,373,1428,535,345,161,74,725,660,230,87,120
"839",839,423,1445,524,364,164,69,731,710,227,85,120
"840",840,332,1471,535,319,167,72,694,575,234,87,120
